model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
logreg,8.0,1.0,threshold,0.7543761020110904,0.8326491985235827,0.2080833069445699,0.5555555555555556,0.3186506687267507,0.508888888888889,0.6530138718240239,1.0917030567685588
logreg,8.0,2.0,reweighting,0.7638821455037947,0.8315052282772947,0.2851756119811464,0.4722222222222222,0.3153502401027501,0.5033333333333334,0.9043139205736075,0.9381898454746135
logreg,8.0,2.0,expgrad,0.7465821685022871,0.7397896546657072,0.2830469819066443,0.55,0.3153502401027501,0.5033333333333334,0.8975638699828468,1.0927152317880795
logreg,8.0,2.0,threshold,0.7144864947742314,0.8344822837727806,0.1750167411255859,0.3611111111111111,0.3153502401027501,0.5033333333333334,0.5549916215968647,0.7174392935982339
logreg,8.0,3.0,reweighting,0.7659775636930468,0.832924912522327,0.261180402523603,0.4722222222222222,0.3243785243112553,0.5155555555555555,0.8051716835390403,0.915948275862069
logreg,8.0,3.0,expgrad,0.7581069685431733,0.7501325143323384,0.5606614447345518,0.6013513513513513,0.3243785243112553,0.5155555555555555,1.7284172740010766,1.1664142590866728
logreg,8.0,3.0,threshold,0.7461221986558659,0.835998532676974,0.2067354794161929,0.4166666666666666,0.3243785243112553,0.5155555555555555,0.6373278867802642,0.8081896551724136
logreg,8.0,4.0,reweighting,0.7639076993841515,0.8309510183153048,0.2859358370077542,0.5833333333333333,0.321342917329465,0.5,0.8898152770381157,1.1666666666666665
logreg,8.0,4.0,expgrad,0.7590780159967291,0.7497664498977556,0.2695149764330242,0.5277777777777778,0.321342917329465,0.5,0.8387145379547827,1.0555555555555556
logreg,8.0,4.0,threshold,0.7323231032632305,0.8339756613238252,0.3792914702752014,0.3648648648648648,0.321342917329465,0.5,1.1803324418266954,0.7297297297297296
logreg,8.0,5.0,reweighting,0.7620678199984667,0.8297069567099502,0.2825908468906796,0.5555555555555556,0.3155846130454614,0.5555555555555556,0.8954519175178262,1.0
logreg,8.0,5.0,expgrad,0.7536350394807452,0.7456591734286437,0.2751406416299224,0.5555555555555556,0.3155846130454614,0.5555555555555556,0.8718442859895933,1.0
logreg,8.0,5.0,threshold,0.725883525413334,0.8330542158578118,0.3545081344077846,0.4166666666666666,0.3155846130454614,0.5555555555555556,1.1233378300250527,0.7499999999999998
logreg,8.0,6.0,reweighting,0.7645976541537832,0.831724938713268,0.2851756119811464,0.4722222222222222,0.3189757327437851,0.5033333333333334,0.8940354475498974,0.9381898454746135
logreg,8.0,6.0,expgrad,0.7557815654307106,0.7482260132828091,0.6085106382978724,0.6283783783783784,0.3189757327437851,0.5033333333333334,1.9077019842968872,1.2484338643279038
logreg,8.0,6.0,threshold,0.7540183476860961,0.8349520202326693,0.1891798144574554,0.3888888888888888,0.3189757327437851,0.5033333333333334,0.5930852884329376,0.7726269315673286
logreg,8.0,7.0,reweighting,0.7631666368538063,0.8305861897097631,0.2819826668693933,0.4722222222222222,0.3209575447735489,0.5122222222222222,0.8785668742211551,0.9219088937093275
logreg,8.0,7.0,expgrad,0.7564459663199857,0.746919947058379,0.272201714564654,0.6111111111111112,0.3209575447735489,0.5122222222222222,0.8480925873130837,1.1930585683297181
logreg,8.0,7.0,threshold,0.7255257710883397,0.8339736942509628,0.3095028128325984,0.4166666666666666,0.3209575447735489,0.5122222222222222,0.9643107565861013,0.8134490238611711
